age;temperature_minimum_average;pollen_Psylvestris;pollen_Puncinata;pollen_Bpendula;pollen_Cavellana;pollen_Qpetraea;real_charcoal;ignitions;charcoal_sum;charcoal_Psylvestris;charcoal_Puncinata;charcoal_Bpendula;charcoal_Cavellana;charcoal_Qpetraea 
-13050;-2.1409604549408;415911;9924;11687;668;0;0.61;6;1612.0870278061243;1563.7499779488164;0;48.337049857307925;0;0
-13049;-1.1409604549408;424402;11674;14625;900;0;0.59;6;1151.7505970612372;915.426389189715;205.1359951213858;31.188212750136447;0;0
-13048;-1.6409604549408;420246;10750;13211;871;0;0.57;0;0;0;0;0;0;0
-13047;-1.3409604549407999;424401;11310;14142;991;0;0.55;0;0;0;0;0;0;0
-13046;-1.0409604549407998;427647;11901;14936;1093;0;0.53;5;12846.41259297398;12540.252692362446;72.20575614668799;233.95414446484654;0;0
-13045;-0.9409604549407999;417203;12064;15048;1168;0;0.52;0;0;0;0;0;0;0
-13044;-1.8409604549407999;410772;10622;12433;1088;0;0.5;0;0;0;0;0;0;0
-13043;-1.8409604549407999;412103;10691;12446;1136;0;0.48;5;52.998089846875324;12.246309661514678;19.179400421434355;12.872531256904628;8.699848507021663;0
-13042;-1.6409604549408;414676;11076;12942;1204;0;0.46;0;0;0;0;0;0;0
-13041;-0.5409604549407998;424261;12907;16387;1382;0;0.44;0;0;0;0;0;0;0
-13040;-1.6409604549408;416719;11321;13086;1293;0;0.42;4;898.7075501562357;637.2251851924906;18.08522806551688;243.3971368982283;0;0
-13039;-1.0409604549407998;422609;12370;14752;1420;0;0.41;0;0;0;0;0;0;0
-13038;-1.1409604549408;422781;12210;14539;1442;0;0.39;4;1033.407661954472;1019.4674645784896;0;13.940197375982178;0;0
-13037;-1.1409604549408;423174;12322;14579;1491;0;0.37;4;2539.1448833304225;1884.0149636616527;248.39895536824582;131.1204470388865;275.6105172616374;0
-13036;-1.3409604549407999;420901;11845;13992;1237;0;0.36;0;0;0;0;0;0;0
-13035;-1.4409604549408;421238;11726;13705;1259;0;0.34;0;0;0;0;0;0;0
-13034;-0.6409604549407999;428402;13139;16249;1384;0;0.33;0;0;0;0;0;0;0
-13033;-1.0409604549407998;427005;12626;15057;1375;0;0.31;3;34.085391372385594;31.572988129149035;0;2.512403243236556;0;0
-13032;-0.1409604549407999;434450;14090;18124;1478;0;0.3;3;808.3362083932143;795.4243968251244;0;12.911811568089854;0;0
-13031;-0.8409604549407999;430324;13224;15994;1486;0;0.29;3;3372.909496658116;3340.0430027214566;0;32.86649393665925;0;0
-13030;-0.34096045494079985;431648;14094;17666;1573;0;0.28;0;0;0;0;0;0;0
-13029;-1.1409604549408;427043;12928;15157;1548;0;0.27;0;0;0;0;0;0;0
-13028;-0.7409604549407999;431563;13694;16603;1633;0;0.26;3;199.18881243027636;199.18881243027636;0;0;0;0
-13027;-0.8409604549407999;432051;13652;16320;1669;0;0.25;0;0;0;0;0;0;0
-13026;-0.5409604549407998;435400;14212;17351;1748;0;0.25;3;190.05;190.05;0;0;0;0
-13025;-0.24096045494079998;438733;14854;18463;1806;0;0.24;0;0;0;0;0;0;0
-13024;-1.2409604549408;432103;13206;15247;1749;0;0.24;0;0;0;0;0;0;0
-13023;0.15903954505920015;444495;15712;20051;1897;0;0.23;2;1800.3472520896046;1784.1854007616405;0;16.16185132796416;0;0
-13022;0.05903954505920006;443378;15797;19800;1931;0;0.23;2;234.32046776517998;232.92148659372813;0;1.3989811714518405;0;0
-13021;-0.9409604549407999;436732;14213;16564;1886;0;0.23;0;0;0;0;0;0;0
-13020;-1.6409604549408;431473;12741;14302;1823;0;0.23;0;0;0;0;0;0;0
-13019;-2.1409604549408;426714;11435;12683;1724;0;0.23;0;0;0;0;0;0;0
-13018;-3.0409604549408;414942;9445;10129;1393;0;0.23;2;0;0;0;0;0;0
-13017;-2.2409604549408;427201;11203;12267;1758;0;0.23;2;36.381673786459515;32.87465049214953;2.511674864656468;0.9953484296535158;0;0
-13016;-1.4409604549408;437982;13229;14727;1982;0;0.23;0;0;0;0;0;0;0
-13015;-2.0409604549408;431967;11882;12875;1872;0;0.23;0;0;0;0;0;0;0
-13014;-1.5409604549407998;439378;13134;14527;2020;0;0.23;2;0;0;0;0;0;0
-13013;-1.3409604549407999;442920;13803;15280;2098;0;0.23;2;192.65;192.65;0;0;0;0
-13012;-0.9409604549407999;448585;14891;16782;2183;0;0.22;0;0;0;0;0;0;0
-13011;-0.24096045494079998;456107;16726;19520;2252;0;0.22;2;0;0;0;0;0;0
-13010;-1.7409604549408;442463;13483;14433;2103;0;0.22;0;0;0;0;0;0;0
-13009;-1.2409604549408;450669;14651;16177;2222;0;0.22;0;0;0;0;0;0;0
-13008;-1.1409604549408;453113;15028;16625;2273;0;0.22;2;0;0;0;0;0;0
-13007;-0.7409604549407999;459290;16291;18134;2369;0;0.21;2;788.5659346741711;782.3931904917679;0;6.1727441824032345;0;0
-13006;-1.0409604549407998;457137;15693;17170;2354;0;0.21;2;2011.6881564407092;1387.0922077554683;593.8158140790077;12.555011146481505;18.225123459751465;0
