age;temperature_minimum_average;pollen_Psylvestris;pollen_Puncinata;pollen_Bpendula;pollen_Cavellana;pollen_Qpetraea;real_charcoal;ignitions;charcoal_sum;charcoal_Psylvestris;charcoal_Puncinata;charcoal_Bpendula;charcoal_Cavellana;charcoal_Qpetraea 
-14721;-3.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14720;-3.9409604549407997;0;0;0;0;0;0;0;0;0;0;0;0;0
-14719;-4.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14718;-3.9409604549407997;0;0;0;0;0;0;0;0;0;0;0;0;0
-14717;-2.6409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14716;-3.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14715;-4.9409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14714;-4.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14713;-4.3409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14712;-3.8409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14711;-3.8409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14710;-4.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14709;-2.8409604549407996;0;0;0;0;0;0;0;0;0;0;0;0;0
-14708;-2.9409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14707;-4.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14706;-5.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14705;-5.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14704;-5.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14703;-4.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14702;-3.6409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14701;-5.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14700;-4.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14699;-4.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14698;-4.6409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14697;-4.8409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14696;-3.6409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14695;-4.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14694;-3.8409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14693;-4.6409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14692;-6.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14691;-4.6409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14690;-3.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14689;-4.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14688;-3.6409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14687;-2.8409604549407996;0;0;0;0;0;0;0;0;0;0;0;0;0
-14686;-3.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14685;-4.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14684;-3.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14683;-6.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14682;-3.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14681;-3.6409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14680;-3.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14679;-4.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14678;-3.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14677;-3.3409604549407996;0;0;0;0;0;0;0;0;0;0;0;0;0
-14676;-4.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14675;-3.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14674;-3.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14673;-3.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14672;-3.8409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14671;-4.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14670;-3.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14669;-4.9409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14668;-3.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14667;-2.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14666;-1.9409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14665;-3.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14664;-3.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14663;-3.1409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14662;-3.1409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14661;-2.6409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14660;-3.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
